"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\formulas.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\multiplication-rules.ts", "TypeScript", 0, 133, 0, 0, 0, 0, 0, 0, 62, 39, 234
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-generator-add-sub.test.ts", "TypeScript", 0, 126, 0, 0, 0, 0, 0, 0, 20, 26, 172
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-generator-add-sub.ts", "TypeScript", 0, 433, 0, 0, 0, 0, 0, 0, 27, 49, 509
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-generator-divide.ts", "TypeScript", 0, 202, 0, 0, 0, 0, 0, 0, 19, 34, 255
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-generator-multiply.ts", "TypeScript", 0, 199, 0, 0, 0, 0, 0, 0, 57, 34, 290
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-generator.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 4, 1, 25
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-types.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 5, 7, 43
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\settings-serializer.ts", "TypeScript", 0, 227, 0, 0, 0, 0, 0, 0, 28, 32, 287
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\settings-utils.ts", "TypeScript", 0, 124, 0, 0, 0, 0, 0, 0, 25, 21, 170
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\utils.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 3, 6, 42
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\package-lock.json", "JSON", 10315, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10316
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\projectBrief.md", "Markdown", 0, 0, 0, 49, 0, 0, 0, 0, 0, 42, 91
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\tailwind.config.ts", "TypeScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 2, 103
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\vitest.config.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"Total", "-", 10384, 1882, 27, 362, 34, 3893, 91, 5, 500, 880, 18058
